Source,Target
narendramodi,Brahamvakya
narendramodi,AankhiGM
narendramodi,SharmaShradha
narendramodi,Ramesh_BJP
narendramodi,NAN_DINI_
narendramodi,RohiniShah73
narendramodi,vanitajain21
narendramodi,VandanaJayrajan
narendramodi,krithikasivasw
narendramodi,AgentSaffron
narendramodi,maisooru
narendramodi,Gopalee67
narendramodi,vvaayu
narendramodi,teasri
narendramodi,ramprasad_c
narendramodi,rahuldewan
narendramodi,PeeliHaldi
narendramodi,mariawirth1
narendramodi,shilpamdas
narendramodi,Telugutalli
narendramodi,attomeybharti
narendramodi,AbhishBanerj
narendramodi,PMBhutan
narendramodi,BJP4Mizoram
narendramodi,ibusolih
narendramodi,ScottMorrisonMP
narendramodi,WorldBank
narendramodi,mssirsa
narendramodi,samirsaran
narendramodi,BJPMahilaMorcha
narendramodi,DrRamShankarMP
narendramodi,hiteshshankar
narendramodi,prafullaketkar
narendramodi,awasthis
narendramodi,AMISHDEVGAN
narendramodi,republic
narendramodi,Neiphiu_Rio
narendramodi,SbhagatBJP
narendramodi,VMBJP
narendramodi,AjayTamtaBJP
narendramodi,MukulR_Official
narendramodi,AvdheshanandG
narendramodi,iChiragPaswan
narendramodi,vivekagnihotri
narendramodi,spmrfoundation
narendramodi,TheAtulMishra
narendramodi,Kapilagr26
narendramodi,AyushNNA
narendramodi,mymeenakshi
narendramodi,IGuruPrakash
narendramodi,BidariSreenivas
narendramodi,SureAish
narendramodi,Shanktan
narendramodi,jyotikatharia
narendramodi,porinju
narendramodi,iMac_too
narendramodi,ReshmiDG
narendramodi,pujatiwariBJP
narendramodi,snikhil_social
narendramodi,vikashroy
narendramodi,theskindoctor13
narendramodi,NileshShah68
narendramodi,SonuNigamSingh
narendramodi,BeingAmitBajpai
narendramodi,modivanibharat
narendramodi,NishantAvasthi1
narendramodi,harshmadhusudan
narendramodi,karanacharya7
narendramodi,anuraag_saxena
narendramodi,shivkmishr
narendramodi,actormanojjoshi
narendramodi,AroraPrteek
narendramodi,HindustaniTweet
narendramodi,Jangid
narendramodi,mukeshrajBJP
narendramodi,kuljeetschahal
narendramodi,syedzafarBJP
narendramodi,Mohanlal
narendramodi,Pvsindhu1
narendramodi,P9Ashwini
narendramodi,Kavita_M57
narendramodi,parvathimenon
narendramodi,KalpanaSubrama5
narendramodi,DipikaPallikal
narendramodi,HeenaSidhu10
narendramodi,YoSwaroop
narendramodi,me_locket
narendramodi,MalavikaBJP
narendramodi,sukanyaiyer2
narendramodi,ChitnisArchana
narendramodi,MirzaSania
narendramodi,chitraaum
narendramodi,ankitasood13
narendramodi,PTUshaOfficial
narendramodi,nehapant19
narendramodi,shaliniscribe
narendramodi,Gayatri83
narendramodi,mileeashwarya
narendramodi,priyasethibjp
narendramodi,romanaisarkhan
narendramodi,DrPashyantiS
narendramodi,kkalpu
narendramodi,SwetaSinghAT
narendramodi,koenamitra
narendramodi,rashmiverma
narendramodi,DeeptiSachdeva_
narendramodi,VimalSana9
narendramodi,PadmajaJoshi
narendramodi,Tavysingh
narendramodi,RubikaLiyaquat
narendramodi,AnubhaShukla7
narendramodi,LostByWaves
narendramodi,sheela2010
narendramodi,Hena19
narendramodi,missartola
narendramodi,MeghaSPrasad
narendramodi,WHO
narendramodi,HimaDas8
narendramodi,manikabatra_TT
narendramodi,hd_kumaraswamy
narendramodi,IISS_org
narendramodi,wto
narendramodi,S_MahajanLS
narendramodi,BjpBiplab
narendramodi,sonal_mansingh
narendramodi,IndoreNagpur
narendramodi,CharuPragya
narendramodi,Sharanyashettyy
narendramodi,divya_16_
narendramodi,VijayaRahatkar
narendramodi,archu243
narendramodi,VaniKola
narendramodi,TrulyMonica
narendramodi,K_Oswal
narendramodi,onlinecolloquy
narendramodi,bhartijainTOI
narendramodi,AnanyaAvasthi
narendramodi,swati_gs
narendramodi,anuradhagoyal
narendramodi,ShilpaaGanesh
narendramodi,meenabg
narendramodi,anaghapp
narendramodi,radharaju18
narendramodi,Varada_M
narendramodi,kajal_jaihind
narendramodi,The_NehaJoshi
narendramodi,DikshaaVerma
narendramodi,SangmaConrad
narendramodi,nsitharamanoffc
narendramodi,MehboobaMufti
narendramodi,SadhviNiranjan
narendramodi,kheloindia
narendramodi,KrishnaRajMOS
narendramodi,RajKSinghIndia
narendramodi,OfficeOfRKSingh
narendramodi,IndiaCoastGuard
narendramodi,bjpkm4kisan
narendramodi,NCWIndia
narendramodi,aneeta369
narendramodi,Jaggesh2
narendramodi,shreerangkul
narendramodi,arvind_barmer
narendramodi,Hamara_Desh
narendramodi,Prakash12Joshi
narendramodi,dalipdutta
narendramodi,sprajapat481
narendramodi,anusha_47
narendramodi,dhaval8456
narendramodi,iTrustNaMo_
narendramodi,Shivam_h9
narendramodi,Ateendriyo
narendramodi,savitha_rao
narendramodi,HassanRouhani
narendramodi,saagar_anand
narendramodi,wef
narendramodi,RenukaJain6
narendramodi,MoJSDoWRRDGR
narendramodi,jairamthakurbjp
narendramodi,RishiUvaach
narendramodi,GautamTanwar_
narendramodi,NagpurKaRajini
narendramodi,aparanjape
narendramodi,iAnkurSingh
narendramodi,sreemoytalukdar
narendramodi,RichardRossow
narendramodi,HKupdate
narendramodi,seriousfunnyguy
narendramodi,jacindaardern
narendramodi,ManojHindustni
narendramodi,Skraivns
narendramodi,alokg2k
narendramodi,EODB_India
narendramodi,DhumalHP
narendramodi,vinayak_jain
narendramodi,DefenceMinIndia
narendramodi,MIB_Hindi
narendramodi,JMehta65
narendramodi,drchintamani
narendramodi,PhogatRitu
narendramodi,BrettLee_58
narendramodi,ishaan_ANI
narendramodi,MihirkJha
narendramodi,TheBalrajPassi
narendramodi,ManishKBJP
narendramodi,nutan_jyot
narendramodi,Saliltoday
narendramodi,harshkkapoor
narendramodi,simbamara
narendramodi,anjanaomkashyap
narendramodi,sardanarohit
narendramodi,DrRamOfficial
narendramodi,maliniawasthi
narendramodi,SaurabhSingh
narendramodi,RomeshNadir
narendramodi,ShefVaidya
narendramodi,c_aashish
narendramodi,majorgauravarya
narendramodi,MakrandParanspe
narendramodi,ramana1729
narendramodi,VishweshwarBhat
narendramodi,ChowkidarLaxmi
narendramodi,ask0704
narendramodi,anil_baluni
narendramodi,astitvam
narendramodi,kshetragnya
narendramodi,AjiHaaan
narendramodi,freentglty
narendramodi,vikramsampath
narendramodi,amitsurg
narendramodi,AfrozShah1
narendramodi,PranjalC23
narendramodi,danielocarmon
narendramodi,VPSecretariat
narendramodi,IndiaSpeaksPR
narendramodi,greatbong
narendramodi,shaktisinha
narendramodi,ashishchauhan
narendramodi,RajivKumar1
narendramodi,Infra_VinayakCh
narendramodi,VamseeJuluri
narendramodi,RShivshankar
narendramodi,navikakumar
narendramodi,MajDPSingh
narendramodi,FrustIndian
narendramodi,authoramish
narendramodi,vkendra
narendramodi,visrane
narendramodi,CitiznMukherjee
narendramodi,M_Raj03
narendramodi,mandhana_smriti
narendramodi,ImHarmanpreet
narendramodi,rashtrapatibhvn
narendramodi,netanyahu
narendramodi,DurgaMenon
narendramodi,priyaakulkarni2
narendramodi,MODIfiedMayank
narendramodi,isagarsinghbjp
narendramodi,MahiHerambha
narendramodi,Rajsharma4CG
narendramodi,BJP_RSS
narendramodi,01Karn
narendramodi,Seems3r
narendramodi,neelang_dave
narendramodi,harish_purohit
narendramodi,I_YogiVerma
narendramodi,EmmanuelMacron
narendramodi,desh_bhkt
narendramodi,ThackerNikhil
narendramodi,ShamikaRavi
narendramodi,iSengarAjayy
narendramodi,RishiMishra_
narendramodi,Indianit07
narendramodi,DrSinghAnuj
narendramodi,iamnagarjuna
narendramodi,praveen_bajpai
narendramodi,Khandelw13Sagar
narendramodi,rohit_chahal
narendramodi,Shreeharib1
narendramodi,manisha_111
narendramodi,HritikSingh_
narendramodi,WeDeeptiSumit
narendramodi,JontyRhodes8
narendramodi,Ramlal
narendramodi,AnoopKaippalli
narendramodi,VRamanuj
narendramodi,AYBPS
narendramodi,KANABARDr
narendramodi,NayakDeep
narendramodi,neelshah31790
narendramodi,SunilYadavBJP
narendramodi,Navrang
narendramodi,ivishalthacker
narendramodi,mishra_shani
narendramodi,VishnuDhanuka
narendramodi,imeerage
narendramodi,akash207
narendramodi,myogiadityanath
narendramodi,drdineshbjp
narendramodi,kpmaurya1
narendramodi,NBirenSingh
narendramodi,Mohansinha
narendramodi,varshasinghmcx
narendramodi,HindolSengupta
narendramodi,davidfrawleyved
narendramodi,India_Policy
narendramodi,anilkumble1074
narendramodi,TawdeVinod
narendramodi,NandanNilekani
narendramodi,RKSinhaBJP
narendramodi,SMungantiwar
narendramodi,DrSubhashMoS
narendramodi,RitaBJoshi
narendramodi,VipulGoelBJP
narendramodi,BabitaPhogat
narendramodi,geeta_phogat
narendramodi,drpwndutta
narendramodi,PcMNavy
narendramodi,suyashdeep
narendramodi,ishivam98
narendramodi,dilipjain1979
narendramodi,brajeshksingh
narendramodi,anuraagmuskaan
narendramodi,imaheshgupta
narendramodi,abhijitmajumder
narendramodi,iam_manojgoenka
narendramodi,ombirlakota
narendramodi,MangteC
narendramodi,WrestlerSushil
narendramodi,boxervijender
narendramodi,maryashakil
narendramodi,ShankkarAiyar
narendramodi,prashantktm
narendramodi,iAvinashMishr
narendramodi,vikrantkumar
narendramodi,iAbhiAcharya
narendramodi,muglikar_
narendramodi,iAroraDeepak
narendramodi,iGyanendraGiri
narendramodi,DigitalGirish
narendramodi,Punitspeaks
narendramodi,abhimanyusrana
narendramodi,Abhina_Prakash
narendramodi,JhaRahul_Bihar
narendramodi,nitingokhale
narendramodi,ravi_pndey
narendramodi,DuttYogi
narendramodi,klrahul11
narendramodi,monurajasthan
narendramodi,nikhildadhich
narendramodi,jaiprakashshah2
narendramodi,nishant_india
narendramodi,Shona2983
narendramodi,iSinghVikash
narendramodi,LavKrTiwari
narendramodi,nikhil5706
narendramodi,Inavaneet
narendramodi,rajamaka
narendramodi,Kamallochanm
narendramodi,Manesha76
narendramodi,PiyushPatelBJP
narendramodi,MahabeerR
narendramodi,AdityaZaveri
narendramodi,Abhinav_Bindra
narendramodi,gaGunNarang
narendramodi,sp_dash68
narendramodi,bk_chudasama
narendramodi,ihiteshbansal
narendramodi,virendra79
narendramodi,LkChahar
narendramodi,cracklier
narendramodi,bartwalvikram
narendramodi,monakaran
narendramodi,HPCL
narendramodi,imbhandarkar
narendramodi,sunilbansalbjp
narendramodi,shivprakashbjp
narendramodi,BahugunaSaket
narendramodi,startupindia
narendramodi,PIBHindi
narendramodi,TheHockeyIndia
narendramodi,Sunil_Deodhar
narendramodi,harbhajan_singh
narendramodi,AmitShahOffice
narendramodi,SSAhluwaliaMP
narendramodi,DrMNPandeyMP
narendramodi,mangalpandeybjp
narendramodi,SanjayTandonBJP
narendramodi,subhashbrala
narendramodi,satpalsattibjp
narendramodi,KailashOnline
narendramodi,ArunSinghbjp
narendramodi,HRajaBJP
narendramodi,SidharthNSingh
narendramodi,drsudhayadavBJP
narendramodi,KetanGondalia99
narendramodi,TheAshokSingh
narendramodi,jeetensingh
narendramodi,IBhavinJethva
narendramodi,RajBhavanHry
narendramodi,JapanGov
narendramodi,IndiaUNGeneva
narendramodi,moefcc
narendramodi,MinOfCultureGoI
narendramodi,DoC_GoI
narendramodi,IndiaDST
narendramodi,AgriGoI
narendramodi,dgftindia
narendramodi,grameenvidyut
narendramodi,crpfindia
narendramodi,iambmane
narendramodi,DevangVDave
narendramodi,my_rajasthan
narendramodi,draksbond
narendramodi,r_raghuraj
narendramodi,CMOMaharashtra
narendramodi,pawanchamling5
narendramodi,MSJE_AIC
narendramodi,IncomeTaxIndia
narendramodi,ndmaindia
narendramodi,incredibleindia
narendramodi,CMO_Odisha
narendramodi,dasraghubar
narendramodi,IndiaPostOffice
narendramodi,HarsimratBadal_
narendramodi,Ashok_Gajapathi
narendramodi,KPGBJP
narendramodi,DRDO_India
narendramodi,BJP4AnN
narendramodi,BJP4Arunachal
narendramodi,BJP4Bihar
narendramodi,BJP4Chandigarh
narendramodi,BJP4DamanDiu
narendramodi,BJP4DnNH
narendramodi,BJP4Haryana
narendramodi,BJP4JnK
narendramodi,BJP4Jharkhand
narendramodi,BJP4Manipur
narendramodi,BJP4Nagaland
narendramodi,BJP4MP
narendramodi,BJP4Meghalaya
narendramodi,BJP4Punjab
narendramodi,BJP4Sikkim
narendramodi,BJP4Tripura
narendramodi,BJP4Telangana
narendramodi,BJP4UK
narendramodi,BSF_India
narendramodi,BJP4Andhra
narendramodi,POTUS44
narendramodi,POTUS45
narendramodi,sudarsansand
narendramodi,TelanganaCMO
narendramodi,goacm
narendramodi,rajeshkalra
narendramodi,HarbirSinghSuri
narendramodi,rajeev_mp
narendramodi,AndhraPradeshCM
narendramodi,CMMadhyaPradesh
narendramodi,parthiv9
narendramodi,anilvijminister
narendramodi,nihalchandindia
narendramodi,DeepaAthlete
narendramodi,BJP4Lakshadweep
narendramodi,ddsportschannel
narendramodi,cmohry
narendramodi,AkbaruddinIndia
narendramodi,SwachhBharatGov
narendramodi,investindia
narendramodi,NDRFHQ
narendramodi,CoalMinistry
narendramodi,MinOfPower
narendramodi,mnreindia
narendramodi,Logistics_MoC
narendramodi,girishalva
narendramodi,AbodeOfLakshmi
narendramodi,vdehejia
narendramodi,BJP4CGState
narendramodi,RajnathSingh_in
narendramodi,lakshmianand96
narendramodi,ArtofLiving
narendramodi,Sanjaygupta0702
narendramodi,IndianFootball
narendramodi,Pradeep_Mahaur
narendramodi,capitalcalculus
narendramodi,IndiaSports
narendramodi,mjakbar
narendramodi,ITBP_official
narendramodi,CMOGuj
narendramodi,ramkripalmp
narendramodi,ppchaudharybjp
narendramodi,jsbhabhor
narendramodi,anilmdave
narendramodi,Dattatreya
narendramodi,AnantGeeteSS
narendramodi,PemaKhanduBJP
narendramodi,CISFHQrs
narendramodi,ashootosh12
narendramodi,shailendrat
narendramodi,HighratedMaan
narendramodi,nistula
narendramodi,BSNLCorporate
narendramodi,RoopaSpeaks
narendramodi,BJP4Goa
narendramodi,swachhbharat
narendramodi,crchaudharymos
narendramodi,LabourMinistry
narendramodi,socialpwds
narendramodi,niku1630
narendramodi,vharitha17
narendramodi,Bittu_Tufani
narendramodi,tyagi_ajay1
narendramodi,ashokepandit
narendramodi,bhav2406
narendramodi,tufailelif
narendramodi,amitrajwant
narendramodi,jatanacharya
narendramodi,samvadplus
narendramodi,AmolSiddham
narendramodi,mvmeet
narendramodi,SandeepMahule
narendramodi,RitaG74
narendramodi,bhawana_pal
narendramodi,AjayKushwaha_
narendramodi,GGauravSharma14
narendramodi,panchdeo_p
narendramodi,renu_18
narendramodi,prabin1206
narendramodi,SaffronJay
narendramodi,iShashiShekhar
narendramodi,Mahesh10816
narendramodi,Bsharmaks
narendramodi,ibhagwa_n
narendramodi,RanjanSri2001
narendramodi,rani_ruhal
narendramodi,ritz_1975
narendramodi,HeeralalYadav_
narendramodi,chandan_loyola
narendramodi,OdiaAbinash
narendramodi,KuldeepOffice
narendramodi,pushkarofficial
narendramodi,HIT3N
narendramodi,VikashPreetam
narendramodi,iKaranSharma99
narendramodi,NaIna0806
narendramodi,AdityaTrivedi_
narendramodi,iPraveendixit
narendramodi,iSanjuktaP
narendramodi,ManishBajpaiBjp
narendramodi,Divsbabs
narendramodi,NeetuGarg6
narendramodi,ahlade
narendramodi,sharmarohitraj
narendramodi,Sanju_Verma_
narendramodi,rishibagree
narendramodi,NarenMenon1
narendramodi,manohar_sram
narendramodi,Suhas_AN
narendramodi,theresa_may
narendramodi,BJP4Bengal
narendramodi,BJP4Keralam
narendramodi,MP_Meerut
narendramodi,R_Lakhanpal
narendramodi,UNinIndia
narendramodi,aloksanjar
narendramodi,GMSBJP
narendramodi,prasoonjoshi_
narendramodi,Kailashkher
narendramodi,sudhirchaudhary
narendramodi,ahir_hansraj
narendramodi,RahulKaswanMP
narendramodi,SirPareshRawal
narendramodi,DrRPNishank
narendramodi,MPRakeshSingh
narendramodi,gssjodhpur
narendramodi,CGAbhishekSingh
narendramodi,iGopalShetty
narendramodi,drsanjeevbalyan
narendramodi,dr_satyapal
narendramodi,AnkurDhaka
narendramodi,mohnotgaurav18
narendramodi,JoshiPralhad
narendramodi,vijaysamplabjp
narendramodi,drkiritpsolanki
narendramodi,SharadYadavMP
narendramodi,DeependerSHooda
narendramodi,rameshbidhuri
narendramodi,NSawaikar
narendramodi,shripadynaik
narendramodi,GaneshSingh_in
narendramodi,VinodChavdaBJP
narendramodi,PCMohanMP
narendramodi,bjpdilippatel
